PassengerId,CryoSleep,Cabin,Destination,Age,VIP,RoomService,Spa,VRDeck,Name,HomePlanet_Europa,HomePlanet_Mars
0001_01,False,B/0/P,TRAPPIST-1e,0.49367088607594933,False,0.0,0.0,0.0,Maham Ofracculy,True,False
0002_01,False,F/0/S,TRAPPIST-1e,0.3037974683544304,False,0.0076080128428840646,0.024500178507675833,0.0018232296026188207,Juanna Vines,False,False
0003_01,False,A/0/S,TRAPPIST-1e,0.7341772151898734,True,0.0030013261673762824,0.2996697607997144,0.002030414784734596,Altark Susent,True,False
0003_02,False,A/0/S,TRAPPIST-1e,0.4177215189873418,False,0.0,0.14856301320956802,0.007997348029668918,Solam Susent,True,False
0004_01,False,F/1/S,TRAPPIST-1e,0.20253164556962025,False,0.021148879737558454,0.025214209210996073,8.287407284631003e-05,Willy Santantines,False,False
0005_01,False,F/0/P,PSO J318.5-22,0.5569620253164557,False,0.0,0.012986433416636916,0.0,Sandie Hinetthews,False,False
0006_01,False,F/2/S,TRAPPIST-1e,0.3291139240506329,False,0.0029315278844140435,0.0,0.0,Billex Jacostaffey,False,False
0006_02,True,G/0/S,TRAPPIST-1e,0.35443037974683544,False,0.0,0.0,0.012632279090839752,Candra Jacostaffey,False,False
0007_01,False,F/3/S,TRAPPIST-1e,0.4430379746835443,False,0.0,0.009639414494823279,0.0,Andona Beston,False,False
0008_01,True,B/1/P,55 Cancri e,0.17721518987341772,False,0.0,0.0,0.0,Erraiam Flatic,True,False
0008_02,True,B/1/P,TRAPPIST-1e,0.43037974683544306,False,0.0,0.0,0.0,Altardr Flatic,True,False
0008_03,False,B/1/P,55 Cancri e,0.569620253164557,False,0.002722133035527326,0.004908961085326669,0.005138192516471222,Wezena Flatic,True,False
0009_01,False,F/1/P,TRAPPIST-1e,0.4050632911392405,False,0.005095274656243457,0.0,0.004682385115816517,Berers Barne,False,True
0010_01,False,G/1/S,TRAPPIST-1e,0.6075949367088608,False,0.05018496544984993,0.0,0.0009944888741557204,Reney Baketton,False,False
